Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Engagement Ring - Variant Pricing Demo,engagement-ring-variant-pricing-demo,"Demo product with unique prices for Silver, Platinum, and each gold karat/color (White, Yellow, Rose).",Gemluxjewels.com,,Engagement Ring,"demo, pdp, variant-pricing",TRUE,Active,DEMO-VRP-Silver-100-5,,Metal Type,Silver,,Diamond Size,1.00,,Ring Size,5,,1495.00,1973.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-100-6,,,Silver,,,1.00,,,6,,1495.00,1973.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-100-7,,,Silver,,,1.00,,,7,,1495.00,1973.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-100-8,,,Silver,,,1.00,,,8,,1495.00,1973.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-100-9,,,Silver,,,1.00,,,9,,1495.00,1973.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-170-5,,,Silver,,,1.70,,,5,,1695.00,2237.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-170-6,,,Silver,,,1.70,,,6,,1695.00,2237.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-170-7,,,Silver,,,1.70,,,7,,1695.00,2237.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-170-8,,,Silver,,,1.70,,,8,,1695.00,2237.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-170-9,,,Silver,,,1.70,,,9,,1695.00,2237.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-200-5,,,Silver,,,2.00,,,5,,1945.00,2567.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-200-6,,,Silver,,,2.00,,,6,,1945.00,2567.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-200-7,,,Silver,,,2.00,,,7,,1945.00,2567.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-200-8,,,Silver,,,2.00,,,8,,1945.00,2567.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-200-9,,,Silver,,,2.00,,,9,,1945.00,2567.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-300-5,,,Silver,,,3.00,,,5,,2395.00,3161.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-300-6,,,Silver,,,3.00,,,6,,2395.00,3161.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-300-7,,,Silver,,,3.00,,,7,,2395.00,3161.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,engagement-ring-variant-pricing-demo,,,,,,,,DEMO-VRP-Silver-300-8,,,Silver,,,3.00,,,8,,2395.00,3161.00,,TRUE,,,,,,shopify,25,DENY,10,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
